OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9082,N14,N186,Perungudi,Perungudi,Panchayat Office Street,S_W186_001,12.959888,80.238717,80.2387165,12.9598876,Full
9083,N14,N186,Perungudi,Perungudi,Panchayat Office Street,S_W186_002,12.960119,80.239695,80.2396953,12.960119,Full
9084,N14,N186,Perungudi,Veerapandiya Katabomman Street,Veerapandiya Katabomman Street,S_W186_001,12.958949,80.236431,80.2364308,12.9589486,Full
9085,N14,N186,Perungudi,Veerapandiya Katabomman Street,Veerapandiya Katabomman Street,S_W186_002,12.95891,80.236433,80.2364329,12.9589103,Empty
9086,N14,N186,Perungudi,Veerapandiya Katabomman Street,Veerapandiya Katabomman Street,S_W186_003,12.958936,80.236424,80.2364242,12.9589362,Full
9087,N14,N186,Perungudi,Elim Nagar 1st Main Salai,Elim Nagar 1st Main Salai,S_W186_001,12.957837,80.240385,80.2403853,12.9578372,Empty
9088,N14,N186,Perungudi,Vembuli amman koil street,Vembuli amman koil street,S_W186_001,12.959883,80.238711,80.2387105,12.959883,Empty
9089,N14,N186,Perungudi,Veerasamy Salai,Veerasamy Salai,S_W186_001,12.963864,80.239383,80.2393825,12.963864,Half Full
9090,N14,N186,Perungudi,Veerasamy Salai,Veerasamy Salai,S_W186_002,12.964154,80.23858,80.2385804,12.9641539,Empty
9091,N14,N186,Perungudi,Veerasamy Salai,Veerasamy Salai,S_W186_003,12.964639,80.236509,80.2365094,12.9646388,Full
9092,N14,N186,Perungudi,Veerasamy Salai,Veerasamy Salai,S_W186_004,12.964637,80.236489,80.2364895,12.9646374,Empty
9093,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 2nd main road,S_W186_001,12.960667,80.242092,80.2420918,12.9606667,Half Full
9094,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 2nd main road,S_W186_002,12.959254,80.243148,80.2431484,12.9592545,Full
9095,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 7th Cross Street,S_W186_001,12.960332,80.242133,80.2421327,12.9603316,Empty
9096,N14,N186,Perungudi,Kurinji Nagar,Kurinji Nagar 1st Cross Street,S_W186_001,12.963336,80.238638,80.2386385,12.9633359,Full
9097,N14,N186,Perungudi,Rajiv Nagar 2nd Main Road,Rajiv Nagar 2nd Main Road,S_W186_001,12.957266,80.236732,80.2367317,12.9572655,Full
9098,N14,N186,Perungudi,Rajiv Nagar 2nd Main Road,Rajiv Nagar 2nd Main Road,S_W186_002,12.957264,80.23673,80.2367304,12.9572638,Empty
9099,N14,N186,Perungudi,Seevaram,Senthil Nagar Main Road,S_W186_001,12.961154,80.243332,80.2433316,12.9611536,Empty
9100,N14,N186,Perungudi,Seevaram,Senthil Nagar Main Road,S_W186_002,12.961156,80.243377,80.243377,12.9611564,Full
9101,N14,N186,Perungudi,Seevaram,Senthil Nagar Main Road,S_W186_003,12.961211,80.24339,80.2433904,12.961211,Full
9102,N14,N186,Perungudi,Seevaram,Senthil Nagar Main Road,S_W186_004,12.961177,80.243389,80.2433889,12.9611769,Full
9103,N14,N186,Perungudi,Seevaram,Senthil Nagar Main Road,S_W186_005,12.961133,80.243357,80.2433568,12.961133,Full
9104,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_004,12.951441,80.241693,80.2416929,12.9514414,Full
9105,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_005,12.952497,80.242019,80.2420193,12.952497,Full
9106,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_006,12.953224,80.242245,80.2422449,12.9532244,Half Full
9107,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_007,12.953793,80.242416,80.2424162,12.9537933,Empty
9108,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_008,12.965776,80.236948,80.2369476,12.9657764,Half Full
9109,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_009,12.954396,80.241265,80.2412653,12.9543956,Empty
